ID,affo1,affo2,affo3,outt1,outt2,outt3,famn1,famn2,famn3,clan1,clan2,clan3,natic1,natic2,natic3,idma1,idma2,idma3,qous1,qous2,qous3,qous4,qous5,goufr,ethnia,sex,region,age
1,7,3,7,7,3,7,7,7,7,4,3,5,5,6,7,7,7,7,7,6,7,7,6,10,CHI,2,2,16
2,6,7,7,6,1,6,7,6,6,6,6,6,6,-99,7,7,7,7,2,3,6,6,6,10,CHI,2,2,15
3,5,4,5,4,2,4,5,6,5,5,5,5,5,6,7,1,1,1,4,4,4,4,4,1,CHI,1,1,14
4,4,4,4,4,2,4,7,4,4,4,4,4,4,-99,4,1,1,1,4,4,4,4,-99,10,CHI,1,2,14
5,4,3,2,3,3,4,1,2,4,4,3,4,5,6,-99,2,-99,-99,4,3,2,4,3,5,CHI,1,2,15
6,6,7,5,5,2,3,6,5,6,6,4,6,7,6,-99,7,6,6,5,6,5,5,6,10,CHI,1,2,14
7,6,3,1,5,1,5,7,7,1,1,7,1,1,1,1,1,1,1,6,7,-99,7,7,0,CHI,2,2,15
8,-99,3,4,6,1,4,4,3,4,4,3,4,3,5,4,2,3,2,5,4,5,3,4,3,CHI,1,2,15
9,5,4,4,3,1,2,6,7,7,2,2,2,4,5,6,4,4,4,5,6,7,7,7,10,CHI,2,2,14
10,-99,5,4,4,4,4,5,5,5,4,4,4,5,5,7,4,3,3,4,4,4,4,4,3,CHI,1,2,14
11,4,4,3,3,2,3,4,3,2,3,3,2,2,1,2,2,1,2,4,5,6,4,7,10,CHI,2,2,14
12,6,6,5,5,1,4,5,6,5,6,6,5,5,5,7,4,4,4,6,6,-99,7,6,3,CHI,2,2,15
13,4,7,7,4,1,7,4,4,4,4,4,4,4,4,7,1,-99,1,2,2,2,2,3,2,CHI,2,1,16
14,6,7,5,6,1,7,6,6,4,3,4,4,7,7,7,7,5,6,5,5,5,4,4,1,CHI,1,1,17
15,2,-99,1,1,4,1,4,4,1,1,1,6,-99,3,4,1,-99,1,1,1,1,1,1,2,CHI,1,2,14
16,5,4,2,5,3,5,3,3,3,3,3,3,2,3,7,2,1,2,1,-99,2,2,2,2,CHI,2,2,15
17,5,6,5,1,2,3,4,-99,4,6,5,5,4,-99,6,2,5,-99,4,6,7,6,7,7,CHI,2,2,14
18,4,7,5,4,3,3,4,4,5,7,4,4,4,4,4,2,-99,4,3,3,3,3,4,0,CHI,2,1,14
19,6,7,1,3,1,2,7,7,7,4,4,4,7,7,7,7,7,7,5,5,6,5,7,10,CHI,1,2,15
20,6,-99,4,4,4,4,5,5,-99,2,4,4,4,7,7,1,1,1,5,4,4,3,2,2,CHI,1,2,15
21,5,4,4,2,5,4,4,4,-99,5,4,5,4,-99,4,4,4,4,4,4,4,4,5,2,CHI,2,1,15
