"","UnID","IDCNTRY","p_mat","p_len","p_cie","DEPENDENCIA","RURALIDAD","GENERO","EDAD","DQA6IT10_01","DQA6IT10_02","DQA6IT11_01","DQA6IT11_02","DQA6IT11_03","DQA6IT11_04","DQA6IT11_05","DQA6IT11_06","DQA6IT11_07","DQA6IT12_01","DQA6IT12_02","DQA6IT12_03","DQA6IT12_04","DQA6IT12_05","DQA6IT12_06","DQA6IT12_07","DQA6IT12_08","DQA6IT14","DQA6IT17_01","DQA6IT17_02","DQA6IT17_03","DQA6IT17_04","DQA6IT17_05","DQA6IT17_06","DQA6IT17_07","DQA6IT17_08","DQA6IT17_09","DQA6IT17_10","DQA6IT17_11","DQA6IT17_12","DQA6IT17_13","DQA6IT17_14","DQA6IT17_15","DQA6IT17_16","DQA6IT17_17","DQA6IT17_18","DQA6IT17_19","DQA6IT17_20","DQA6IT17_21","DQA6IT17_22","DQA6IT17_23","DQA6IT17_24","DQA6IT17_25","DQA6IT17_26","DQA6IT17_27","DQA6IT17_28","DQA6IT17_29","DQA6IT18","DQA6IT19_01","DQA6IT19_02","DQA6IT19_03","DQA6IT19_04","DQA6IT19_05","DQA6IT19_06"
"1","15260890123",152,836.438130653331,779.08528795854,817.750191520322,"Privada","Urbana","Niña",12,"Perdido","Perdido","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Dos (2)","Tres o más (3 o más)","Tres o más (3 o más)","Uno (1)","Uno (1)","Cero (0)","Dos (2)","Uno (1)","Hay más de 50","A veces","Siempre o casi siempre","Nunca o casi nunca","A veces","Nunca o casi nunca","Nunca o casi nunca","Siempre o casi siempre","Siempre o casi siempre","A veces","A veces","Siempre o casi siempre","Siempre o casi siempre","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Nunca o casi nunca","Siempre o casi siempre","A veces","A veces","A veces","Siempre o casi siempre","A veces","A veces","A veces","A veces","A veces","A veces","A veces","Nunca he repetido","No","No","No","No","No","No"
"2","15260880103",152,819.87905389442,819.979720118117,849.039821652269,"Privada","Urbana","Niño",12,"No sé","No sé","Sí","Sí","Sí","No","No","Sí","Sí","Dos (2)","Tres o más (3 o más)","Dos (2)","Uno (1)","Uno (1)","Uno (1)","Uno (1)","Dos (2)","Hay más de 50","Perdido","A veces","A veces","A veces","A veces","Nunca o casi nunca","Nunca o casi nunca","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","A veces","Siempre o casi siempre","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Nunca he repetido","No","No","No","Sí","No","No"
"3","15260120126",152,879.536648597864,885.855040893083,840.774958028732,"Publico","Urbana","Niña",12,"[CINE-P 3]","[CINE-P 4-5]","Sí","Sí","Sí","Sí","Sí","No","Sí","Dos (2)","Uno (1)","Cero (0)","Uno (1)","Uno (1)","Tres o más (3 o más)","Cero (0)","Uno (1)","Hay 10 o menos","A veces","A veces","Siempre o casi siempre","Nunca o casi nunca","A veces","Nunca o casi nunca","A veces","A veces","A veces","A veces","Nunca o casi nunca","A veces","A veces","Siempre o casi siempre","Siempre o casi siempre","A veces","A veces","Nunca o casi nunca","A veces","Siempre o casi siempre","A veces","A veces","A veces","A veces","Nunca o casi nunca","A veces","Nunca o casi nunca","A veces","Siempre o casi siempre","Nunca he repetido","Sí","No","Sí","Sí","No","No"
"4","15261920109",152,851.457066759533,789.787448899724,805.021852741926,"Privada","Rural","Niño",12,"[CINE-P 3]","[CINE-P 1-2]","Sí","Sí","Sí","No","Sí","Sí","Sí","Tres o más (3 o más)","Tres o más (3 o más)","Dos (2)","Uno (1)","Uno (1)","Tres o más (3 o más)","Cero (0)","Uno (1)","Hay más de 50","A veces","Siempre o casi siempre","A veces","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Nunca he repetido","No","No","No","No","No","No"
"5","15240850201",152,743.275791584459,605.940340639263,541.793585145046,"Publico","Rural","Niño",12,"Perdido","[CINE-P 3]","Sí","Sí","Sí","No","Sí","No","No","Dos (2)","Uno (1)","Uno (1)","Uno (1)","Uno (1)","Cero (0)","Cero (0)","Uno (1)","Hay 10 o menos","Siempre o casi siempre","A veces","Siempre o casi siempre","A veces","A veces","Nunca o casi nunca","A veces","Siempre o casi siempre","Siempre o casi siempre","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","A veces","A veces","A veces","Siempre o casi siempre","Siempre o casi siempre","Nunca o casi nunca","Nunca o casi nunca","A veces","Nunca o casi nunca","A veces","A veces","A veces","A veces","A veces","A veces","A veces","A veces","Nunca he repetido","No","No","No","No","No","No"
"6","15261410118",152,803.576182068136,769.305214794915,833.83942197695,"Privada","Urbana","Niño",12,"No sé","No sé","Sí","Sí","Sí","No","Sí","No","Sí","Tres o más (3 o más)","Dos (2)","Dos (2)","Uno (1)","Uno (1)","Tres o más (3 o más)","Uno (1)","Cero (0)","Hay entre 31 y 50","Siempre o casi siempre","Siempre o casi siempre","A veces","Nunca o casi nunca","A veces","Nunca o casi nunca","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","A veces","A veces","Siempre o casi siempre","A veces","A veces","Nunca o casi nunca","Siempre o casi siempre","A veces","A veces","A veces","Siempre o casi siempre","Siempre o casi siempre","Nunca he repetido","No","No","No","No","No","No"
"7","15261560222",152,662.61459751595,886.147151392184,815.871220868558,"Privada","Urbana","Niña",13,"[CINE-P 6-7-8]","No sé","Sí","Sí","Sí","No","Sí","No","Sí","Tres o más (3 o más)","Tres o más (3 o más)","Dos (2)","Uno (1)","Uno (1)","Tres o más (3 o más)","Cero (0)","Tres o más (3 o más)","Hay más de 50","Siempre o casi siempre","Siempre o casi siempre","A veces","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Una vez","No","No","No","No","No","No"
"8","15230040307",152,843.133871845209,792.333010542342,749.224327285214,"Privada","Urbana","Niña",12,"[CINE-P 6-7-8]","[CINE-P 6-7-8]","Sí","Sí","Sí","Sí","Sí","Sí","Perdido","Tres o más (3 o más)","Perdido","Tres o más (3 o más)","Tres o más (3 o más)","Uno (1)","Cero (0)","Tres o más (3 o más)","Tres o más (3 o más)","Hay más de 50","Siempre o casi siempre","A veces","Nunca o casi nunca","Nunca o casi nunca","A veces","Nunca o casi nunca","Nunca o casi nunca","A veces","Siempre o casi siempre","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","Nunca o casi nunca","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","A veces","Nunca o casi nunca","A veces","Siempre o casi siempre","Nunca he repetido","No","No","No","No","No","No"
"9","15260590102",152,821.042100412233,740.260577341231,793.59660449715,"Publico","Rural","Niño",12,"Perdido","[CINE-P 1-2]","Sí","Sí","No","No","Sí","No","No","Dos (2)","Uno (1)","Uno (1)","Uno (1)","Uno (1)","Dos (2)","Dos (2)","Cero (0)","Hay entre 11 y 20","A veces","Siempre o casi siempre","A veces","A veces","Nunca o casi nunca","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Nunca o casi nunca","Siempre o casi siempre","Nunca o casi nunca","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","Nunca he repetido","No","No","No","Sí","No","No"
"10","15260940125",152,723.520659555658,791.599892435478,696.038706087208,"Privada","Urbana","Niña",13,"No sé","No sé","Sí","Sí","No","Sí","Sí","Sí","Sí","Tres o más (3 o más)","Dos (2)","Dos (2)","Uno (1)","Dos (2)","Cero (0)","Tres o más (3 o más)","Tres o más (3 o más)","Hay más de 50","Siempre o casi siempre","Siempre o casi siempre","A veces","A veces","Nunca o casi nunca","A veces","Siempre o casi siempre","A veces","Siempre o casi siempre","A veces","Siempre o casi siempre","A veces","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","Siempre o casi siempre","Siempre o casi siempre","A veces","Siempre o casi siempre","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","Siempre o casi siempre","A veces","Nunca he repetido","No","Sí","No","No","Sí","No"
"11","15260670108",152,686.740441175146,660.792962513479,608.659300876929,"Publico","Rural","Niña",12,"[CINE-P 1-2]","[CINE-P 1-2]","Sí","Sí","Sí","Sí","Sí","Sí","No","Dos (2)","Uno (1)","Uno (1)","Uno (1)","Uno (1)","Uno (1)","Dos (2)","Dos (2)","Hay más de 50","A veces","A veces","Siempre o casi siempre","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","Siempre o casi siempre","Nunca o casi nunca","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","Una vez","No","No","No","No","No","No"
"12","15261760243",152,760.733568159889,824.283531453676,716.556646935781,"Privada","Urbana","Niña",12,"[CINE-P 6-7-8]","[CINE-P 4-5]","Sí","Sí","Sí","No","Sí","No","Sí","Uno (1)","Cero (0)","Uno (1)","Uno (1)","Uno (1)","Uno (1)","Uno (1)","Uno (1)","Hay más de 50","A veces","A veces","Nunca o casi nunca","A veces","A veces","Nunca o casi nunca","Nunca o casi nunca","A veces","Nunca o casi nunca","Nunca o casi nunca","A veces","A veces","Nunca o casi nunca","A veces","Siempre o casi siempre","A veces","A veces","A veces","A veces","Nunca o casi nunca","Nunca o casi nunca","A veces","Nunca o casi nunca","A veces","A veces","A veces","A veces","A veces","A veces","Nunca he repetido","No","No","No","No","No","No"
