ext1,ext2,ext3,ext4,ext5,ext6,ext7,ext8,ext9,ext10,ext11,ext12,neu1,neu2,neu3,neu4,neu5,neu6,neu7,neu8,neu9,neu10,neu11,neu12,cons1,cons2,cons3,cons4,cons5,cons6,cons7,cons8,cons9,cons10,cons11,cons12,agree1,agree2,agree3,agree4,agree5,agree6,agree7,agree8,agree9,agree10,agree11,agree12,open1,open2,open3,open4,open5,open6,open7,open8,open9,open10,open11,open12,NEUAN,NEUDE,NEUVE,OPENSE,OPENCI,OPENIM
3,3,3,4,5,3,5,2,4,4,4,4,4,5,4,5,2,2,5,4,4,5,5,2,4,5,5,2,5,2,4,5,5,4,4,2,5,4,2,1,3,4,5,4,5,3,4,4,2,5,5,5,5,3,3,5,1,1,1,5,3.25,3.5,3,4.25,4,4.5
4,2,2,2,2,3,3,4,3,5,3,4,1,3,2,5,1,2,5,3,2,1,4,3,3,3,3,2,3,4,3,5,4,2,5,3,5,5,2,2,3,4,5,1,1,1,5,5,2,4,3,4,3,1,5,4,1,1,2,4,5,3.75,3.25,4.5,3.75,4.25
3,4,3,4,3,4,4,4,2,4,5,3,2,2,4,4,3,2,5,4,3,2,4,4,2,4,5,5,5,1,4,5,5,4,4,2,4,5,3,1,1,2,4,4,4,2,4,3,4,5,3,4,1,2,4,5,1,2,1,4,4.25,3.75,3.75,3.5,5,4
3,2,2,3,2,2,4,4,4,3,4,4,3,4,3,4,4,3,3,2,4,3,1,2,1,2,4,4,2,4,4,5,5,4,5,2,5,5,3,4,2,2,4,1,2,2,4,3,1,5,4,5,1,1,5,5,2,1,1,4,3.25,1.75,2.5,5,5,4.25
3,2,4,4,3,3,4,4,2,2,4,3,2,4,4,5,2,3,5,4,2,2,4,4,2,4,3,3,4,4,2,3,3,4,3,4,4,2,4,5,3,4,3,4,4,5,4,3,4,5,3,2,3,1,3,4,2,4,3,4,4.5,3.5,3.75,2.25,3.75,4
4,3,4,2,3,2,4,2,1,4,3,2,3,3,4,4,2,2,4,4,4,1,4,4,2,4,4,4,4,3,4,4,4,2,4,4,4,4,4,4,4,2,5,1,4,2,5,3,2,4,4,4,3,4,4,5,2,4,2,4,4,3.75,3.5,3.5,4,3.5
3,3,5,5,4,5,5,5,3,3,4,4,3,3,1,4,2,2,2,5,5,2,5,5,1,1,5,5,3,1,5,5,5,1,5,2,5,5,3,2,1,5,5,1,5,4,5,5,5,5,1,3,4,4,4,5,3,2,2,3,3.25,4.25,2.75,3,4,2.25
4,2,2,4,3,2,4,4,3,3,2,4,2,3,2,2,3,4,4,4,4,2,2,2,2,5,4,4,4,4,4,4,5,3,4,2,4,4,4,2,1,3,4,1,2,2,4,4,1,5,4,4,2,2,4,5,1,1,1,4,3.5,3,2,4.5,4.75,4.25
4,4,2,2,4,2,2,2,4,5,2,4,4,5,2,4,4,5,2,1,4,2,1,4,1,1,5,5,2,2,4,5,5,2,5,1,4,5,3,2,2,4,5,1,1,4,5,5,4,4,5,3,2,4,4,4,2,4,2,4,3,1.25,2.25,2.75,4,3.75
3,2,2,4,3,4,4,3,2,2,4,3,4,4,1,2,4,4,2,2,4,4,3,1,3,5,4,4,3,2,2,4,4,3,3,3,4,5,2,3,2,3,4,2,1,4,3,4,4,4,5,4,3,2,3,4,2,3,2,4,2,2.25,1.5,3,3.75,4.25
3,2,4,5,3,4,4,2,2,2,5,3,5,3,1,1,3,4,3,2,5,3,3,1,1,3,4,5,2,2,5,5,5,1,4,2,5,4,3,4,1,4,5,1,3,4,5,4,1,5,4,5,1,2,5,5,1,4,1,3,2,2.75,1.25,4.25,5,4
5,5,1,1,4,3,1,3,4,5,3,5,5,5,4,1,4,4,1,3,4,4,2,3,4,4,5,2,4,2,2,5,5,4,5,1,4,5,1,5,1,5,4,1,3,1,5,3,3,4,5,4,3,1,5,5,1,1,1,5,1.25,2,2.75,4.25,4.25,5
5,3,2,3,3,2,3,3,4,5,4,4,2,4,2,3,3,3,3,3,2,1,3,4,2,3,5,4,1,3,5,4,3,3,2,5,5,5,3,1,1,2,5,1,3,3,5,3,3,4,4,5,3,1,4,5,1,1,3,5,3.75,2.75,3.25,4.25,3.75,4.75
3,2,5,3,3,2,4,4,5,3,4,5,2,4,2,4,3,4,5,1,4,3,2,2,3,2,5,4,4,2,4,5,5,2,5,2,4,5,2,3,1,4,4,2,2,3,4,5,1,5,4,5,1,2,4,4,2,1,1,3,4,2,2,4.75,4.75,3.75
3,3,2,2,2,2,3,3,4,4,3,4,2,4,3,4,4,3,4,3,3,2,3,3,2,2,4,4,3,2,4,4,4,2,4,3,4,4,3,2,2,3,4,2,3,3,2,3,2,5,5,4,3,3,4,5,3,2,2,4,4,2.5,3,4,4.25,3.75
5,1,1,1,4,1,1,2,5,5,1,5,5,5,1,1,5,5,1,1,5,5,1,1,1,1,5,5,1,1,5,5,5,1,5,1,5,5,1,1,1,4,5,1,2,1,5,4,1,5,5,5,1,2,5,5,1,1,1,5,1,1,1,5,5,4.75
5,3,2,2,4,2,2,2,5,5,2,4,3,4,2,2,4,5,3,2,4,3,2,2,3,2,5,3,4,2,2,4,4,4,4,3,5,5,2,2,2,4,5,2,2,2,5,5,2,5,4,4,2,2,5,4,2,2,2,4,2.75,2,1.75,4.25,4.25,4
4,3,2,3,4,1,4,2,4,3,2,4,2,4,1,5,4,3,4,3,4,2,2,2,1,2,5,5,5,1,4,5,5,2,5,1,4,5,4,1,1,2,5,1,5,2,5,3,2,5,5,4,1,1,5,5,1,1,1,5,4.25,2.25,2,4.5,5,5
1,2,3,4,2,4,4,3,2,2,3,2,4,2,2,2,3,3,2,3,4,4,2,3,2,4,4,4,4,3,4,3,4,2,4,4,3,4,4,3,1,4,3,2,4,4,4,3,2,3,3,4,2,4,4,4,3,2,2,2,2,3,2.5,4,3.75,2.5
4,2,3,3,3,3,4,5,3,4,5,3,1,1,4,5,1,2,5,5,1,1,5,3,4,1,5,3,4,3,3,4,4,2,4,2,5,5,4,1,5,4,4,2,4,3,5,3,2,5,5,3,1,3,5,5,1,1,1,5,5,5,4,4.25,5,4.5
4,3,2,2,3,4,4,3,3,5,4,4,4,3,2,2,3,4,2,2,4,4,2,3,2,2,4,4,3,2,4,4,4,2,4,2,3,4,3,2,1,4,4,1,3,2,5,3,2,4,4,4,2,2,5,4,3,2,2,3,2,2.5,2.25,4.25,4,3.5
5,1,3,2,3,2,4,1,4,5,5,3,3,4,1,1,2,4,5,5,4,2,5,1,3,5,4,3,5,3,3,3,5,3,5,1,5,5,2,1,1,5,5,1,1,2,5,4,1,5,3,2,1,3,5,5,2,2,1,4,3.25,4,1.5,4,5,3.5
3,3,4,4,4,4,5,3,2,2,3,2,5,4,1,2,4,5,2,2,4,5,1,2,2,2,5,5,3,2,4,4,5,2,5,3,3,5,2,3,1,5,3,1,2,5,5,4,3,4,3,4,2,3,5,5,2,2,2,3,1.5,1.75,1.5,4,4.25,3.25
4,4,3,2,3,4,2,3,2,4,3,2,1,1,4,4,3,1,4,4,2,1,4,4,4,4,4,3,4,3,2,3,4,4,3,4,3,4,4,3,4,3,4,3,4,4,4,3,2,4,4,4,2,2,4,4,2,2,2,4,4.5,4,4.25,4,4,4
2,2,4,5,3,4,5,2,2,1,4,3,2,2,3,4,2,4,4,4,2,2,4,3,2,4,4,5,5,4,2,4,4,3,4,3,4,5,2,2,1,4,4,2,4,3,5,3,4,3,3,2,5,4,2,5,2,2,1,3,4,4,3,2.5,3.5,3
4,4,4,4,4,2,4,2,3,3,4,4,2,4,2,4,4,4,4,2,3,2,1,4,4,4,4,2,5,2,4,4,4,3,4,2,4,5,4,2,1,2,4,1,4,4,5,3,2,5,4,4,2,2,4,5,2,2,2,4,4,1.75,2.75,4,4.5,4
5,3,2,1,2,1,4,3,5,4,4,4,4,4,1,3,4,4,3,2,5,2,2,1,5,4,5,1,5,4,1,4,5,5,4,5,5,5,5,1,1,5,5,1,2,2,5,5,3,5,4,3,5,3,5,5,1,1,3,4,3,2,1.25,4,3.5,4
4,5,2,2,5,2,3,2,4,5,2,4,2,3,2,3,3,3,4,2,3,2,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,5,2,4,4,5,2,3,2,4,3,4,5,4,3,3,2,4,5,3,2,2,4,3.75,2.5,3,3.25,4.25,3.75
4,3,1,2,3,2,4,2,4,5,3,4,3,4,4,5,4,2,3,2,2,2,1,4,4,4,5,3,4,4,3,2,5,3,3,4,5,5,3,1,2,4,5,2,1,2,5,5,1,4,4,4,1,3,4,5,2,1,1,4,3.75,1.75,4,4.5,4.75,3.75
3,2,1,4,3,4,4,2,2,2,4,3,4,5,2,3,4,4,2,3,4,2,3,2,1,4,5,5,2,1,5,5,5,1,4,1,5,5,2,2,1,4,4,2,3,3,5,4,2,4,3,5,2,2,4,5,2,1,1,3,2.75,2.25,2,4.5,4.5,3.5
3,4,4,4,2,4,5,4,2,2,3,2,3,3,3,5,2,3,4,4,3,1,3,4,4,4,5,5,5,1,2,5,5,5,4,1,4,4,4,1,2,3,4,2,4,4,4,4,3,2,5,5,3,4,3,5,2,2,2,4,4.25,3.5,3.25,3.75,3.5,3.75
