ge1,ge2,ge3,ge4,ge5,ge6,ses,edu,civ_level,cty
1,1,1,3,3,3,1.22,tertiary,level 2,CHL
1,1,1,4,4,4,2.38,tertiary,level 3,CHL
1,1,1,3,3,3,1.63,tertiary,level 3,CHL
1,1,1,4,4,4,2.15,tertiary,level 3,CHL
1,1,1,4,4,4,2.38,tertiary,level 2,CHL
1,1,1,4,4,4,1.97,tertiary,level 2,CHL
1,1,1,4,4,4,2.13,tertiary,level 3,CHL
1,1,1,4,4,4,2.38,tertiary,level 3,CHL
1,1,1,4,4,4,1.44,tertiary,level 3,CHL
1,1,1,4,1,4,1.5,tertiary,level 2,CHL
1,1,1,4,4,4,2.38,tertiary,level 2,CHL
1,1,1,3,3,3,2.15,tertiary,level 2,CHL
1,1,1,4,4,4,1.63,tertiary,level 3,CHL
1,1,1,4,1,4,0.98,none-tertiary,level 0,CHL
1,1,1,4,4,4,1.52,tertiary,level 0,CHL
1,1,1,4,4,4,-1.15,none-tertiary,level 1,CHL
1,1,1,4,3,4,-1.42,none-tertiary,level 0,CHL
2,2,2,2,2,1,-0.65,none-tertiary,level 1,CHL
2,2,2,2,3,2,-0.57,none-tertiary,level 0,CHL
1,1,1,4,3,3,-0.57,none-tertiary,level 2,CHL
1,1,1,4,4,3,1.05,tertiary,level 3,CHL
1,1,1,4,4,4,0.34,none-tertiary,level 1,CHL
1,1,1,4,4,4,-0.46,none-tertiary,level 2,CHL
1,1,1,4,4,4,-0.72,none-tertiary,level 3,CHL
1,1,1,4,4,4,-0.57,none-tertiary,level 0,CHL
1,1,1,4,4,4,0.38,tertiary,level 2,CHL
1,1,1,3,3,4,0.13,none-tertiary,level 2,CHL
1,1,1,4,4,3,-0.57,none-tertiary,level 2,CHL
1,1,1,4,3,4,-0.26,none-tertiary,level 2,CHL
2,1,2,4,4,4,-0.4,none-tertiary,level 2,CHL
2,1,1,4,4,4,-0.23,none-tertiary,level 1,CHL
1,1,1,4,4,3,-0.51,none-tertiary,level 1,CHL
1,2,1,3,3,1,-0.37,none-tertiary,level 2,CHL
1,1,1,4,4,3,0.29,none-tertiary,level 3,CHL
1,1,1,4,3,3,-0.08,none-tertiary,level 1,CHL
1,1,1,3,3,3,-1.47,none-tertiary,level 2,CHL
1,1,1,4,4,4,0.42,none-tertiary,level 1,CHL
1,1,1,1,1,1,-1.09,none-tertiary,level 1,CHL
1,1,1,4,3,2,-0.01,none-tertiary,level 0,CHL
1,1,1,1,1,1,-0.46,none-tertiary,level 0,CHL
1,2,1,3,2,2,-1.47,none-tertiary,level 1,CHL
2,2,1,1,2,2,-0.74,none-tertiary,level 0,CHL
1,1,1,2,1,1,0.27,none-tertiary,level 0,CHL
1,1,1,4,4,4,-1.22,none-tertiary,level 2,CHL
2,2,1,3,4,4,-0.35,none-tertiary,level 1,CHL
2,2,2,2,2,2,-0.58,none-tertiary,level 0,CHL
3,3,3,3,3,3,-1.58,none-tertiary,level 1,CHL
2,2,2,2,2,2,0.36,tertiary,level 1,CHL
1,1,1,4,4,4,-0.17,none-tertiary,level 2,CHL
1,1,1,4,4,4,0.35,none-tertiary,level 3,CHL
2,2,2,3,2,2,-1.39,none-tertiary,level 2,CHL
2,2,2,2,2,2,-1.36,none-tertiary,level 1,CHL
2,2,2,3,3,3,-1.45,none-tertiary,level 2,CHL
2,2,2,3,3,3,-1.75,none-tertiary,level 1,CHL
1,1,1,4,4,4,-0.84,none-tertiary,level 2,CHL
1,1,1,3,1,3,-0.46,none-tertiary,level 0,CHL
1,1,2,4,1,4,-1.45,none-tertiary,level 0,CHL
1,1,1,2,3,4,-1.58,none-tertiary,level 0,CHL
1,1,1,4,3,4,-0.54,none-tertiary,level 2,CHL
1,1,1,4,4,4,-0.8,none-tertiary,level 1,CHL
4,4,4,4,4,3,-0.81,none-tertiary,level 0,CHL
1,1,1,1,1,1,-1.16,none-tertiary,level 0,CHL
1,1,1,4,4,4,-0.7,none-tertiary,level 2,CHL
2,2,2,2,2,2,-1.99,none-tertiary,level 0,CHL
1,1,1,4,3,2,-0.7,none-tertiary,level 2,CHL
1,1,1,4,4,4,-0.26,none-tertiary,level 2,CHL
2,3,2,2,4,3,-0.54,none-tertiary,level 0,CHL
1,1,3,3,1,2,-1.04,none-tertiary,level 0,CHL
1,1,1,4,4,4,0.23,none-tertiary,level 3,CHL
1,1,1,3,3,3,-0.82,none-tertiary,level 2,CHL
3,3,3,3,3,3,-0.2,none-tertiary,level 0,CHL
2,2,2,3,3,3,-0.38,none-tertiary,level 0,CHL
1,1,1,4,4,4,-0.57,none-tertiary,level 2,CHL
1,1,1,4,4,4,1.09,tertiary,level 3,CHL
1,1,1,4,4,4,-1.08,none-tertiary,level 1,CHL
2,2,2,4,3,3,-0.6,none-tertiary,level 0,CHL
3,1,3,3,3,3,-0.98,none-tertiary,level 0,CHL
1,1,1,1,1,1,0.33,none-tertiary,level 1,CHL
2,2,2,2,2,2,-0.9,none-tertiary,level 0,CHL
1,1,1,4,4,3,-0.79,none-tertiary,level 1,CHL
1,1,1,4,4,4,-1.05,none-tertiary,level 2,CHL
1,2,3,3,3,3,-1.14,none-tertiary,level 1,CHL
