ge1,ge2,ge3,ge4,ge5,ge6,ses,edu,civ_level,cty
1,1,1,3,3,3,4.206332050085645,tertiary,level 2,CHL
1,1,1,4,4,4,5.431206283893542,tertiary,level 3,CHL
1,1,1,3,3,3,4.6397777164796175,tertiary,level 3,CHL
1,1,1,4,4,4,5.188688601623956,tertiary,level 3,CHL
1,1,1,4,4,4,5.431206283893542,tertiary,level 2,CHL
1,1,1,4,4,4,4.998779535160276,tertiary,level 2,CHL
1,1,1,4,4,4,5.16759256260568,tertiary,level 3,CHL
1,1,1,4,4,4,5.431206283893542,tertiary,level 3,CHL
1,1,1,4,4,4,4.438987999215622,tertiary,level 3,CHL
1,1,1,4,1,4,4.502409018841421,tertiary,level 2,CHL
1,1,1,4,4,4,5.431206283893542,tertiary,level 2,CHL
1,1,1,3,3,3,5.188688601623956,tertiary,level 2,CHL
1,1,1,4,4,4,4.6397777164796175,tertiary,level 3,CHL
1,1,1,4,1,4,3.952315342862221,none-tertiary,level 0,CHL
1,1,1,4,4,4,4.523546515328017,tertiary,level 0,CHL
1,1,1,4,4,4,1.6850860800371692,none-tertiary,level 1,CHL
1,1,1,4,3,4,1.3953095733143446,none-tertiary,level 0,CHL
2,2,2,2,2,1,2.219907293241243,none-tertiary,level 1,CHL
2,2,2,2,3,2,2.305295053746036,none-tertiary,level 0,CHL
1,1,1,4,3,3,2.305295053746036,none-tertiary,level 2,CHL
1,1,1,4,4,3,4.026426988580845,tertiary,level 3,CHL
1,1,1,4,4,4,3.2737498250257353,none-tertiary,level 1,CHL
1,1,1,4,4,4,2.4226298475052794,none-tertiary,level 2,CHL
1,1,1,4,4,4,2.1451545647089256,none-tertiary,level 3,CHL
1,1,1,4,4,4,2.305295053746036,none-tertiary,level 0,CHL
1,1,1,4,4,4,3.31621513309746,tertiary,level 2,CHL
1,1,1,3,3,4,3.050675357020946,none-tertiary,level 2,CHL
1,1,1,4,4,3,2.305295053746036,none-tertiary,level 2,CHL
1,1,1,4,3,4,2.635760702049374,none-tertiary,level 2,CHL
2,1,2,4,4,4,2.486596196879272,none-tertiary,level 2,CHL
2,1,1,4,4,4,2.667708608607765,none-tertiary,level 1,CHL
1,1,1,4,4,3,2.369306152642361,none-tertiary,level 1,CHL
1,2,1,3,3,1,2.518570523991474,none-tertiary,level 2,CHL
1,1,1,4,4,3,3.2206571142018205,none-tertiary,level 3,CHL
1,1,1,4,3,3,2.8273675100798714,none-tertiary,level 1,CHL
1,1,1,3,3,3,1.3415576450425593,none-tertiary,level 2,CHL
1,1,1,4,4,4,3.3586726775196523,none-tertiary,level 1,CHL
1,1,1,1,1,1,1.7493796054903816,none-tertiary,level 1,CHL
1,1,1,4,3,2,2.9018305027768356,none-tertiary,level 0,CHL
1,1,1,1,1,1,2.4226298475052794,none-tertiary,level 0,CHL
1,2,1,3,2,2,1.3415576450425593,none-tertiary,level 1,CHL
2,2,1,1,2,2,2.12378986409994,none-tertiary,level 0,CHL
1,1,1,2,1,1,3.199416541421967,none-tertiary,level 0,CHL
1,1,1,4,4,4,1.6100325610255077,none-tertiary,level 2,CHL
2,2,1,3,4,4,2.5398835177053583,none-tertiary,level 1,CHL
2,2,2,2,2,2,2.294624088099657,none-tertiary,level 0,CHL
3,3,3,3,3,3,1.2231931890619372,none-tertiary,level 1,CHL
2,2,2,2,2,2,3.29498345592929,tertiary,level 1,CHL
1,1,1,4,4,4,2.731588100745486,none-tertiary,level 2,CHL
1,1,1,4,4,4,3.284366885505105,none-tertiary,level 3,CHL
2,2,2,3,2,2,1.4275464676809944,none-tertiary,level 2,CHL
2,2,2,2,2,2,1.4597729695208665,none-tertiary,level 1,CHL
2,2,2,3,3,3,1.3630620393314599,none-tertiary,level 2,CHL
2,2,2,3,3,3,1.039937300196413,none-tertiary,level 1,CHL
1,1,1,4,4,4,2.0169196673558614,none-tertiary,level 2,CHL
1,1,1,3,1,3,2.4226298475052794,none-tertiary,level 0,CHL
1,1,2,4,1,4,1.3630620393314599,none-tertiary,level 0,CHL
1,1,1,2,3,4,1.2231931890619372,none-tertiary,level 0,CHL
1,1,1,4,3,4,2.337303732345996,none-tertiary,level 2,CHL
1,1,1,4,4,4,2.0596772165826023,none-tertiary,level 1,CHL
4,4,4,4,4,3,2.048989027849649,none-tertiary,level 0,CHL
1,1,1,1,1,1,1.6743671215171467,none-tertiary,level 0,CHL
1,1,1,4,4,4,2.166516227316645,none-tertiary,level 2,CHL
2,2,2,2,2,2,0.7804090788511532,none-tertiary,level 0,CHL
1,1,1,4,3,2,2.166516227316645,none-tertiary,level 2,CHL
1,1,1,4,4,4,2.635760702049374,none-tertiary,level 2,CHL
2,3,2,2,4,3,2.337303732345996,none-tertiary,level 0,CHL
1,1,3,3,1,2,1.8029317233243098,none-tertiary,level 0,CHL
1,1,1,4,4,4,3.156929340656705,none-tertiary,level 3,CHL
1,1,1,3,3,3,2.03830004293846,none-tertiary,level 2,CHL
3,3,3,3,3,3,2.6996510526830617,none-tertiary,level 0,CHL
2,2,2,3,3,3,2.50791306264104,none-tertiary,level 0,CHL
1,1,1,4,4,4,2.305295053746036,none-tertiary,level 2,CHL
1,1,1,4,4,4,4.068767733146008,tertiary,level 3,CHL
1,1,1,4,4,4,1.7600918793340083,none-tertiary,level 1,CHL
2,2,2,4,3,3,2.2732800274416927,none-tertiary,level 0,CHL
3,1,3,3,3,3,1.8671643512576035,none-tertiary,level 0,CHL
1,1,1,1,1,1,3.2631322728564176,none-tertiary,level 1,CHL
2,2,2,2,2,2,1.9527589759479738,none-tertiary,level 0,CHL
1,1,1,4,4,3,2.070364613386608,none-tertiary,level 1,CHL
1,1,1,4,4,4,1.7922231385933631,none-tertiary,level 2,CHL
1,2,3,3,3,3,1.6958040650167903,none-tertiary,level 1,CHL
1,1,2,3,3,3,1.9848430237555705,none-tertiary,level 2,CHL
1,1,1,3,3,3,3.888775290376217,none-tertiary,level 1,CHL
1,1,1,2,2,1,3.1887955007230295,none-tertiary,level 1,CHL
1,1,1,3,1,3,2.0917370479815895,none-tertiary,level 0,CHL
2,2,2,3,3,3,1.9527589759479738,none-tertiary,level 0,CHL
1,1,1,1,1,1,2.166516227316645,none-tertiary,level 0,CHL
2,2,3,3,2,2,3.11443397302246,none-tertiary,level 1,CHL
1,1,1,4,1,4,3.4329550011064542,none-tertiary,level 1,CHL
1,1,1,4,4,4,2.518570523991474,none-tertiary,level 1,CHL
1,1,1,3,1,1,1.9848430237555705,none-tertiary,level 0,CHL
1,1,1,1,1,1,2.433292563695049,none-tertiary,level 1,CHL
3,1,1,4,4,4,3.645065461999417,none-tertiary,level 1,CHL
1,1,1,4,4,4,3.4647832286641442,none-tertiary,level 1,CHL
1,1,1,1,1,1,3.4223446573918537,none-tertiary,level 0,CHL
1,1,1,4,2,1,4.586950569975112,tertiary,level 2,CHL
1,1,4,4,4,4,3.2737498250257353,none-tertiary,level 1,CHL
2,2,1,2,2,2,3.284366885505105,none-tertiary,level 1,CHL
1,1,3,3,3,3,2.5398835177053583,none-tertiary,level 2,CHL
1,1,1,4,4,3,4.755967350823294,tertiary,level 1,CHL
4,4,2,3,3,2,2.742232595577933,none-tertiary,level 1,CHL
1,1,1,4,4,4,3.7404570603287604,none-tertiary,level 3,CHL
1,1,1,4,4,4,1.9527589759479738,none-tertiary,level 1,CHL
1,1,1,4,4,4,3.5496381992411647,none-tertiary,level 2,CHL
