FOLIO,IDG1,IDG2,IGD3,IDG4,ID5,SV,ACT1,ACT2,ACT3,ACT4,ACT5,DIS1,DIS2,DIS3,DIS4,DIS5,AM1,AM2,AM3,AM4,AM5,C1,C2,C3,C4,C5,EN1,EN2,EN3,EN4,EN5,EP1,EP2,EP3,EP4,EP5,AC1,AC2,AC3,AC4,AC5,AC6,AC7,AC8,AC9,AC10,AC11,SEXO,EDAD,NIVED,ESTCIV,PP,PO,ING,REL,FREL
1046,4,4,1,4,5,3,4,4,4,3,4,4,5,2,1,5,2,2,3,3,2,1,1,1,1,1,1,1,2,2,1,4,3,2,2,5,9,9,9,9,9,9,9,9,9,9,9,2,52,5,1,4,10,4,1,4
1047,4,4,2,4,4,7,2,3,3,2,3,3,3,3,3,3,2,2,3,3,3,1,1,1,2,2,1,1,1, , ,4,4,4, , ,2,2,2,2,2,2,2,2,2,2,2,1,68,6,4,4,10, ,1,1
1048,4,4,2,4,3,8,5,5,5,5,5,4,3,4,2,2,1,1,1,1,1,2,2,2,2,2, , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,1,71,8,4,1,10, ,1,6
1049,5,5,1,5,5,6,9,9,3,4,4,4,4,1,3,3,1,1,1,1,1,2,2,2,1,1, , , ,1,1, , , ,3,3,2,2,2,2,2,2,2,2,2,2,2,2,75,4,5,99,10, ,1,6
1050,5,5,1,5,5,6,3,4,4,4,4,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,4,4,4,2,2,2,2,2,2,2,2,2,2,2,1,63,8,1,99,10,99,1,3
1051,4,4,1,5,5,5,4,4,3,4,2,4,5,9,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,3,4,4,2,1,2,2,2,2,9,2,1,2,2,2,2,1,72,5,5,5,10, ,1,2
1052,4,4,2,4,4,7,5,4,3,3,3,3,4,2,1,3,1,2,3,3,3,1,1,1,1,1,1,1,1,1,1,5,3,3,2,4,2,2,2,2,2,2,2,2,2,2,2,2,32,5,1,5,10, ,1,2
1053,4,5,1,5,5,4,4,5,3,2,4,5,5,3,2,5,3,3,3,3,3,1,1,1,1,1,2,1,2,2,2,5,4,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,61,5,1,4,10, ,1,3
1056,4,4,1,5,4,5,4,4,3,3,4,3,4,2,1,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,5,4,2,2,4,2,2,2,2,2,2,1,2,2,2,2,1,58,7,5,5,10,9,1,1
1057,4,4,1,4,4,4,3,3,3,3,3,3,5,2,1,3,2,2,9,3,2,1,1,1,1,1,1,2,2,3,2,5,3,2,1,4,2,2,2,1,2,2,1,2,2,2,2,1,73,5,1,4,10, ,1,3
