ID;sexo;edad;ocupa;reli;sexismo1;sexismo2;sexismo3;sexismo4;conogay;conoles;amigay;amiles;afe1gay;afe2gay;afe3gay;afe4gay;afe1les;afe2les;afe3les;afe4les;homo1gay;homo2gay;homo3gay;homo4gay;homo5gay;homo6gay;homo7gay;homo1les;homo2les;homo3les;homo4les;homo5les;homo6les;homo7les;int1gay;int2gay;int3gay;int4gay;int1les;int2les;int3les;int4les;DD01_01;DD01_02;DD02_01;DD02_02
86;0;20;1;1;4;4;2;1;0;0;0;0;-99;-99;-99;-99;5;5;5;5;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;4;3;3;5;5;5;5;3
90;1;21;1;4;3;2;3;3;3;0;1;0;-99;-99;-99;-99;3;4;3;3;2;2;3;3;3;3;3;2;2;3;3;3;3;3;-99;-99;-99;-99;3;3;3;3;3;3;4;3
319;1;21;1;2;3;2;1;3;6;2;2;0;-99;-99;-99;-99;5;5;5;5;-99;-99;-99;-99;-99;-99;-99;1;1;1;1;1;1;1;-99;-99;-99;-99;3;4;3;3;-99;-99;-99;-99
752;1;20;1;3;1;4;1;1;2;0;2;0;-99;-99;-99;-99;5;4;4;4;-99;-99;-99;-99;-99;-99;-99;1;1;4;1;4;2;2;-99;-99;-99;-99;3;3;3;3;-99;-99;-99;-99
793;0;20;1;1;2;3;4;3;0;3;0;0;-99;-99;-99;-99;4;4;4;4;-99;-99;-99;-99;-99;-99;-99;1;3;4;4;4;4;4;-99;-99;-99;-99;4;4;4;4;-99;-99;-99;-99
83;1;18;1;4;2;4;1;1;2;0;2;0;-99;-99;-99;-99;4;4;4;3;-99;-99;-99;-99;-99;-99;-99;2;2;4;3;2;3;4;-99;-99;-99;-99;4;3;3;4;-99;-99;-99;-99
379;1;20;1;2;4;4;3;2;0;1;0;0;1;1;1;1;1;1;1;1;3;4;5;5;5;5;5;5;3;4;-99;3;4;5;1;1;1;1;1;1;1;1;3;1;4;1
337;1;25;4;1;4;1;1;3;0;0;0;0;1;1;1;1;1;1;1;1;4;5;4;5;5;5;5;4;5;5;4;5;5;5;1;1;1;1;1;1;1;1;1;1;1;1
900;0;18;1;5;3;4;4;5;1;3;0;1;1;1;1;1;5;4;5;5;4;4;5;5;5;5;5;4;2;5;5;5;4;5;1;1;1;1;5;4;5;5;2;2;4;1
833;0;24;1;2;5;5;3;5;1;2;1;0;2;5;3;3;-99;-99;-99;-99;3;1;1;1;2;3;3;3;-99;-99;-99;-99;-99;-99;3;3;3;3;-99;-99;-99;-99;-99;-99;-99;-99
829;0;-99;-99;-99;5;5;5;5;7;0;0;1;2;4;4;1;1;5;5;5;1;5;1;1;1;1;1;5;1;5;5;5;4;4;4;4;4;1;5;5;4;1;1;1;4;4
277;1;20;1;7;2;2;2;3;0;4;0;0;2;2;3;3;3;4;3;3;2;2;2;2;2;4;4;1;1;1;1;1;2;2;3;-99;3;3;3;3;3;3;4;2;4;4
459;0;20;1;1;1;1;1;1;6;6;4;2;2;2;1;1;4;4;3;3;1;4;1;2;1;2;1;1;4;1;1;2;2;2;5;5;5;5;5;5;-99;5;2;1;2;3
