id,idcntry,mat,len,cie,dep,rur,sex,age,edm,edp,s01,s02,s03,s04,s05,s06,s07,b01,b02,b03,b04,b05,b06,b07,b08,bok,am1,am2,am3,as1,as2,as3,re1,re2,re3,re4,re5,re6,re7,ma1,ma2,ma3,ma4,i01,i02,i03,i04,i05,i06,i07,i08,i09,i10,i11,i12,rep,v01,v02,v03,v04,v05,v06
15260890123,152,836.438130653331,779.08528795854,817.750191520322,1,0,1,12,NA,NA,1,1,1,1,1,1,1,2,3,3,1,1,0,2,1,6,2,3,1,2,1,1,3,3,2,2,3,3,2,3,3,3,1,3,2,2,2,3,2,2,2,2,2,2,2,1,0,0,0,0,0,0
15260880103,152,819.87905389442,819.979720118117,849.039821652269,1,0,0,12,6,6,1,1,1,0,0,1,1,2,3,2,1,1,1,1,2,6,NA,2,2,2,2,1,1,3,3,3,3,3,3,2,2,3,2,3,3,3,3,3,2,3,3,3,3,3,3,1,0,0,0,1,0,0
15260120126,152,879.536648597864,885.855040893083,840.774958028732,0,0,1,12,3,4,1,1,1,1,1,0,1,2,1,0,1,1,3,0,1,2,2,2,3,1,2,1,2,2,2,2,1,2,2,3,3,2,2,1,2,3,2,2,2,2,1,2,1,2,3,1,1,0,1,1,0,0
15261920109,152,851.457066759533,789.787448899724,805.021852741926,1,1,0,12,3,2,1,1,1,0,1,1,1,3,3,2,1,1,3,0,1,6,2,3,2,1,1,1,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,1,0,0,0,0,0,0
15240850201,152,743.275791584459,605.940340639263,541.793585145046,0,1,0,12,NA,3,1,1,1,0,1,0,0,2,1,1,1,1,0,0,1,2,3,2,3,2,2,1,2,3,3,1,1,1,2,2,2,3,3,1,1,2,1,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0
15261410118,152,803.576182068136,769.305214794915,833.83942197695,1,0,0,12,6,6,1,1,1,0,1,0,1,3,2,2,1,1,3,1,0,5,3,3,2,1,2,1,2,3,3,3,2,2,3,3,3,3,2,2,2,3,2,2,1,3,2,2,2,3,3,1,0,0,0,0,0,0
15261560222,152,662.61459751595,886.147151392184,815.871220868558,1,0,1,13,5,6,1,1,1,0,1,0,1,3,3,2,1,1,3,0,3,6,3,3,2,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,0,0,0,0,0,0
15230040307,152,843.133871845209,792.333010542342,749.224327285214,1,0,1,12,5,5,1,1,1,1,1,1,NA,3,NA,3,3,1,0,3,3,6,3,2,1,1,2,1,1,2,3,2,3,3,3,3,3,3,3,2,1,2,3,3,3,3,2,2,1,2,3,1,0,0,0,0,0,0
15260590102,152,821.042100412233,740.260577341231,793.59660449715,0,1,0,12,NA,2,1,1,0,0,1,0,0,2,1,1,1,1,2,2,0,3,2,3,2,2,1,2,3,3,3,3,2,3,3,3,3,3,1,3,1,3,3,3,2,3,3,3,3,3,2,1,0,0,0,1,0,0
15260940125,152,723.520659555658,791.599892435478,696.038706087208,1,0,1,13,6,6,1,1,0,1,1,1,1,3,2,2,1,2,0,3,3,6,3,3,2,2,1,2,3,2,3,2,3,2,2,3,3,3,2,3,3,2,3,2,3,3,3,3,2,3,2,1,0,1,0,0,1,0
